lambda,algorithm,final_objective,recovery_error,nnz,iterations,runtime
0.01,Subgradient,0.11509655265042258,1.2891607115085253,199,500,0.009670399998867651
0.01,ISTA,0.07322939880452531,0.46126847073251415,69,500,0.009743700000399258
0.01,FISTA,0.07304956369715573,0.4549273060620105,63,500,0.010570099999313243
0.01,ADMM,0.07304955218869326,0.4549233086754887,63,427,0.09421719999954803
0.02,Subgradient,0.1857099238803312,1.0267353442569165,199,500,0.0101329999997688
0.02,ISTA,0.13925395007637129,0.4033576717823358,57,500,0.010579399997368455
0.02,FISTA,0.13925322805385607,0.4026593872265112,56,500,0.013666099999682046
0.02,ADMM,0.13925322541386026,0.4027087203968561,56,230,0.05201630000010482
0.05,Subgradient,0.3325838496476302,0.5725090296294247,200,500,0.01096039999902132
0.05,ISTA,0.3122385873906792,0.3427594911631113,36,326,0.0070986000027915
0.05,FISTA,0.31223858734919785,0.34275484505835335,36,309,0.009433299997908762
0.05,ADMM,0.3122385872981395,0.34275575153554216,36,69,0.01609199999802513
0.1,Subgradient,0.5626384668697574,0.4249329063547063,200,500,0.01176070000292384
0.1,ISTA,0.5549977289627483,0.3895035909053641,17,176,0.00424850000126753
0.1,FISTA,0.554997728938143,0.3895074354444918,17,168,0.005280800000036834
0.1,ADMM,0.5549977289135823,0.38950431024762083,17,59,0.01375200000256882
0.2,Subgradient,0.9810604126533036,0.5839938463530452,200,500,0.011600999998336192
0.2,ISTA,0.9563593644555634,0.5785155805742254,7,97,0.002993499998410698
0.2,FISTA,0.9563593644425085,0.5785156344371587,7,117,0.0038991000001260545
0.2,ADMM,0.9563593644368521,0.5785156193909586,7,70,0.01526449999801116
0.5,Subgradient,1.9777872341720935,1.0973825766873841,200,500,0.014878800000587944
0.5,ISTA,1.8220263096823934,1.0869137177098096,4,82,0.0033182000006490853
0.5,FISTA,1.8220263096775287,1.0869110466760512,4,98,0.003995099999883678
0.5,ADMM,1.8220263096682476,1.086912271009436,4,72,0.015198000000964385
1.0,Subgradient,3.2853699180113147,1.5685832671135713,200,500,0.01558379999914905
1.0,ISTA,2.6031348800682266,1.5611362825573554,2,79,0.002593900000647409
1.0,FISTA,2.6031348801489314,1.5611348286734872,2,81,0.0028598999997484498
1.0,ADMM,2.603134880053825,1.5611361388198446,2,76,0.017152600001281826
