seed,algorithm,final_objective,recovery_error,nnz,iterations,runtime,support_ok,primal_res,dual_res
0,Subgradient,0.8998859660396201,0.6224951024362892,200,500,0.011178900000231806,False,,
0,ISTA,0.8569148646796299,0.24406262244829802,17,226,0.0052634999992733356,False,,
0,FISTA,0.8569148646328727,0.2440578407648073,17,210,0.005318999999872176,False,,
0,ADMM,0.8569148646316295,0.24405786830004092,17,64,0.016821100001834566,False,9.37786501439332e-07,1.1605138778248006e-07
1,Subgradient,0.7059960625352129,0.7308332754279318,200,500,0.01665839999986929,False,,
1,ISTA,0.6783741858537842,0.4383949087810812,20,195,0.007121999999071704,False,,
1,FISTA,0.6783741858276958,0.4383864928263144,19,196,0.008081500000116648,False,,
1,ADMM,0.6783741858131673,0.4383871572895465,19,59,0.01438380000035977,False,9.985452266189475e-07,2.567443305556732e-07
2,Subgradient,0.5771898826587545,0.6023586837784656,200,500,0.01143919999958598,False,,
2,ISTA,0.5649806238369359,0.46874081656044325,22,224,0.0054702000015822705,False,,
2,FISTA,0.5649806238801925,0.4687420768624758,22,209,0.005534899999474874,False,,
2,ADMM,0.5649806237805081,0.46873246128094576,22,58,0.015029199999844423,False,8.708281679466216e-07,2.4370055790715635e-07
3,Subgradient,0.8796308553115564,0.6177213537994626,200,500,0.011629699998593424,False,,
3,ISTA,0.8438841181060941,0.3341697220991799,13,183,0.0045396000023174565,False,,
3,FISTA,0.8438841180773903,0.3341662397481796,13,203,0.00687130000005709,False,,
3,ADMM,0.8438841180707972,0.3341631282143526,13,60,0.015926699998090044,False,9.342439786503749e-07,2.5688214247327955e-07
4,Subgradient,1.2807362928229324,1.422057977508885,200,500,0.014369099997566082,False,,
4,ISTA,1.0932795356345288,0.37148425669268653,25,277,0.006904599998961203,False,,
4,FISTA,1.0932795355685119,0.37147596076657785,25,288,0.01026570000249194,False,,
4,ADMM,1.0932795355653773,0.3714759008287244,25,64,0.016141199997946387,False,8.162516505440958e-07,5.324273412028887e-07
